"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,161763578,53921192,99.55763439749491
"hipLaunchKernel",1,560598,560598,0.34502087192932174
"hipDeviceSynchronize",1,111521,111521,0.06863576512657893
"hipMalloc",3,31768,10589,0.01955166279482034
"hipFree",3,12654,4218,0.007787923098893748
"__hipPushCallConfiguration",1,1924,1924,0.0011841286583113301
"__hipPopCallConfiguration",1,301,301,0.00018525089716824863
